#               step                time             E_total                 m_x                 m_y                 m_z              E_exch             E_demag 
#         <unitless>                 <s>                 <J>          <unitless>          <unitless>          <unitless>                 <J>                 <J> 
               137 +6.850000000000e-09 +3.825924871124e-18 -2.041395058745e-01 +1.671483228571e-02 +2.168200363450e-02 +2.718158458676e-18 +1.107766412448e-18 
               138 +6.900000000000e-09 +3.826683113566e-18 -2.047101060380e-01 +1.671286595510e-02 +2.166481936262e-02 +2.718197558484e-18 +1.108485555082e-18 
               139 +6.950000000000e-09 +3.827376433595e-18 -2.052438245842e-01 +1.657213414274e-02 +2.164816235900e-02 +2.718246571789e-18 +1.109129861806e-18 
               140 +7.000000000000e-09 +3.827966514094e-18 -2.057106896385e-01 +1.630783371234e-02 +2.163302822428e-02 +2.718302011863e-18 +1.109664502230e-18 
               141 +7.050000000000e-09 +3.828422737687e-18 -2.060858876663e-01 +1.594249532471e-02 +2.162029634137e-02 +2.718360096030e-18 +1.110062641657e-18 
               142 +7.100000000000e-09 +3.828723776389e-18 -2.063510469250e-01 +1.550446269365e-02 +2.161067311540e-02 +2.718416968722e-18 +1.110306807667e-18 
               143 +7.150000000000e-09 +3.828858746108e-18 -2.064952505299e-01 +1.502586049653e-02 +2.160464234788e-02 +2.718468947831e-18 +1.110389798277e-18 
               144 +7.200000000000e-09 +3.828827764139e-18 -2.065156507770e-01 +1.454020067986e-02 +2.160242878235e-02 +2.718512794469e-18 +1.110314969670e-18 
               145 +7.250000000000e-09 +3.828641761220e-18 -2.064175548047e-01 +1.407985188805e-02 +2.160398136194e-02 +2.718545978999e-18 +1.110095782221e-18 
               146 +7.300000000000e-09 +3.828321467777e-18 -2.062138941837e-01 +1.367363940081e-02 +2.160898136708e-02 +2.718566894693e-18 +1.109754573084e-18 
               147 +7.350000000000e-09 +3.827895607056e-18 -2.059240730415e-01 +1.334483899894e-02 +2.161687698819e-02 +2.718574969376e-18 +1.109320637680e-18 
               148 +7.400000000000e-09 +3.827398454596e-18 -2.055722886381e-01 +1.310977380459e-02 +2.162694084828e-02 +2.718570647237e-18 +1.108827807359e-18 
               149 +7.450000000000e-09 +3.826867026039e-18 -2.051855041354e-01 +1.297712870108e-02 +2.163834229528e-02 +2.718555248090e-18 +1.108311777950e-18 
               150 +7.500000000000e-09 +3.826338202697e-18 -2.047913007225e-01 +1.294798535579e-02 +2.165022365715e-02 +2.718530742646e-18 +1.107807460051e-18 
               151 +7.550000000000e-09 +3.825846088902e-18 -2.044158363122e-01 +1.301648017148e-02 +2.166176998279e-02 +2.718499498445e-18 +1.107346590457e-18 
               152 +7.600000000000e-09 +3.825419830988e-18 -2.040820983749e-01 +1.317092063535e-02 +2.167226465737e-02 +2.718464046090e-18 +1.106955784899e-18 
               153 +7.650000000000e-09 +3.825082036946e-18 -2.038085761765e-01 +1.339517236065e-02 +2.168112738864e-02 +2.718426893995e-18 +1.106655142951e-18 
               154 +7.700000000000e-09 +3.824847847653e-18 -2.036084104620e-01 +1.367014486369e-02 +2.168793489667e-02 +2.718390397251e-18 +1.106457450401e-18 
               155 +7.750000000000e-09 +3.824724634388e-18 -2.034890194058e-01 +1.397524404708e-02 +2.169242717630e-02 +2.718356668096e-18 +1.106367966293e-18 
               156 +7.800000000000e-09 +3.824712246690e-18 -2.034521552095e-01 +1.428970639961e-02 +2.169450315208e-02 +2.718327510556e-18 +1.106384736133e-18 
               157 +7.850000000000e-09 +3.824803704945e-18 -2.034943180291e-01 +1.459377075866e-02 +2.169420920200e-02 +2.718304365330e-18 +1.106499339616e-18 
               158 +7.900000000000e-09 +3.824986222492e-18 -2.036074417246e-01 +1.486967121632e-02 +2.169172303058e-02 +2.718288260593e-18 +1.106697961899e-18 
               159 +7.950000000000e-09 +3.825242447083e-18 -2.037797662673e-01 +1.510244838751e-02 +2.168733428874e-02 +2.718279773412e-18 +1.106962673671e-18 
               160 +8.000000000000e-09 +3.825551824624e-18 -2.039968205268e-01 +1.528057862023e-02 +2.168142256855e-02 +2.718279009795e-18 +1.107272814829e-18 
