#               time            E_Demag  E_UniformExchange            E_total                m_x                m_y                m_z            m_error          real_time          rhs_evals               step 
#                <s>                <J>                <J>                <J>                 <>                 <>                 <>                 <>                <s>                 <>                 <> 
            1.23e-09  1.03402276397e-18   2.7182244612e-18  3.75224722517e-18    -0.133200793799   -0.0434029525717    0.0231432745807  6.04210015354e-11      1578232584.74               5986                123 
            1.24e-09  1.03172712375e-18  2.71781495573e-18  3.74954207948e-18    -0.131172259852   -0.0395842130373    0.0232019595299  5.28010968281e-11      1578232584.81               6022                124 
            1.25e-09  1.02948958852e-18  2.71752585941e-18  3.74701544792e-18    -0.129275810872   -0.0356781897709    0.0232613661365  5.18886045242e-11      1578232584.87               6055                125 
            1.26e-09  1.02728074618e-18  2.71738442377e-18  3.74466516995e-18    -0.127499297035   -0.0316908725627    0.0233194166343  5.56092949466e-11      1578232584.93               6086                126 
            1.27e-09  1.02509585391e-18   2.7174027768e-18  3.74249863071e-18    -0.125835017888   -0.0276306887919    0.0233713491462  4.92211826852e-11      1578232584.98               6113                127 
            1.28e-09  1.02295885269e-18  2.71757366696e-18  3.74053251966e-18    -0.124283382744   -0.0235101284206    0.0234115138653  4.56744642108e-11      1578232585.03               6140                128 
            1.29e-09  1.02092238808e-18  2.71786868342e-18   3.7387910715e-18    -0.122855384477   -0.0193461410182    0.0234354396373  4.98947549943e-11      1578232585.09               6167                129 
             1.3e-09     1.01906265e-18  2.71824024794e-18  3.73730289794e-18    -0.121572935679   -0.0151592069644    0.0234415076835  4.57900384276e-11      1578232585.14               6193                130 
            1.31e-09  1.01746889164e-18  2.71862797302e-18  3.73609686466e-18    -0.120466624068   -0.0109712754051     0.023431716161  3.99090760439e-11      1578232585.19               6220                131 
            1.32e-09  1.01622915698e-18  2.71896860966e-18  3.73519776665e-18    -0.119571146216  -0.00680302806413    0.0234113130343   4.3952286255e-11      1578232585.25               6247                132 
            1.33e-09  1.01541533055e-18  2.71920732821e-18  3.73462265876e-18    -0.118919360529  -0.00267112144355    0.0233874341857  4.26997326386e-11      1578232585.32               6274                133 
            1.34e-09   1.0150711736e-18  2.71930736027e-18  3.73437853387e-18    -0.118536326204   0.00141388593326    0.0233671962637  3.58361118558e-11      1578232585.37               6301                134 
            1.35e-09  1.01520609116e-18  2.71925557366e-18  3.73446166481e-18    -0.118434708768    0.0054483505829    0.0233558505659  3.79736242451e-11      1578232585.43               6328                135 
            1.36e-09  1.01579544957e-18  2.71906305308e-18  3.73485850264e-18    -0.118612535962   0.00943485280436    0.0233555487335  3.90951715445e-11      1578232585.48               6355                136 
            1.37e-09  1.01678636175e-18  2.71876135641e-18  3.73554771816e-18    -0.119053640016     0.013380157323    0.0233650308012  3.29627436457e-11      1578232585.54               6382                137 
            1.38e-09  1.01810681303e-18  2.71839605221e-18  3.73650286524e-18    -0.119730462555       0.0172923535    0.0233802234091  3.29700711177e-11      1578232585.59               6408                138 
            1.39e-09  1.01967596282e-18  2.71801923741e-18  3.73769520023e-18    -0.120608431181    0.0211778953848    0.0233954588332  3.57898155556e-11      1578232585.64               6435                139 
             1.4e-09  1.02141399713e-18  2.71768232368e-18  3.73909632081e-18    -0.121650932664    0.0250392245088    0.0234048881563  3.06870084898e-11       1578232585.7               6462                140 
            1.41e-09  1.02325050025e-18  2.71742991011e-18  3.74068041036e-18    -0.122823976874    0.0288734322063    0.0234036877874  2.85425016955e-11      1578232585.76               6489                141 
            1.42e-09  1.02513071617e-18  2.71729523938e-18  3.74242595555e-18    -0.124099870413    0.0326721090219    0.0233888030382   3.2009950246e-11      1578232585.83               6516                142 
            1.43e-09  1.02701933335e-18  2.71729752138e-18  3.74431685473e-18    -0.125459500477    0.0364222451235    0.0233591573573  2.89133161857e-11      1578232585.89               6543                143 
            1.44e-09  1.02890168675e-18   2.7174411886e-18  3.74634287536e-18    -0.126893104657    0.0401078515285    0.0233154107884  2.55170329311e-11      1578232585.96               6570                144 
            1.45e-09  1.03078257443e-18  2.71771689298e-18  3.74849946741e-18    -0.128399641951    0.0437118789138    0.0232594392184  2.82179835054e-11      1578232586.01               6597                145 
            1.46e-09   1.0326831673e-18  2.71810382934e-18  3.75078699664e-18    -0.129985068514    0.0472180034765    0.0231937248696  2.70471423036e-11      1578232586.07               6623                146 
