#             steps          E_total_1          E_total_2          E_total_3          E_total_4          E_total_5          E_total_6          E_total_7          E_total_8 
#                <>                <J>                <J>                <J>                <J>                <J>                <J>                <J>                <J> 
              1280 -1.308109356292e-18 -1.305791480094e-18 -1.294737428554e-18 -1.255333171704e-18 -1.228364661638e-18 -1.273913145217e-18 -1.312755590166e-18 -1.327104000000e-18 
              1290 -1.308109356292e-18 -1.305801763179e-18 -1.294753783533e-18 -1.255343493529e-18 -1.228361717595e-18 -1.273896988344e-18 -1.312748710410e-18 -1.327104000000e-18 
              1300 -1.308109356292e-18 -1.305811620000e-18 -1.294769559991e-18 -1.255353178531e-18 -1.228358693291e-18 -1.273881588689e-18 -1.312742002742e-18 -1.327104000000e-18 
              1310 -1.308109356292e-18 -1.305821491224e-18 -1.294785367322e-18 -1.255363114255e-18 -1.228355863042e-18 -1.273865848249e-18 -1.312735354121e-18 -1.327104000000e-18 
              1320 -1.308109356292e-18 -1.305830941996e-18 -1.294800616508e-18 -1.255372313450e-18 -1.228352859199e-18 -1.273850969197e-18 -1.312728835668e-18 -1.327104000000e-18 
              1330 -1.308109356292e-18 -1.305840382232e-18 -1.294815841616e-18 -1.255381787006e-18 -1.228350101292e-18 -1.273835753200e-18 -1.312722415374e-18 -1.327104000000e-18 
              1340 -1.308109356292e-18 -1.305849487892e-18 -1.294830633479e-18 -1.255390632266e-18 -1.228347166922e-18 -1.273821255314e-18 -1.312716080138e-18 -1.327104000000e-18 
              1350 -1.308109356292e-18 -1.305858479665e-18 -1.294845257580e-18 -1.255399507100e-18 -1.228344383099e-18 -1.273806725409e-18 -1.312709858530e-18 -1.327104000000e-18 
              1360 -1.308109356292e-18 -1.305867136915e-18 -1.294859436771e-18 -1.255407769540e-18 -1.228341439185e-18 -1.273792913588e-18 -1.312703732391e-18 -1.327104000000e-18 
              1370 -1.308109356292e-18 -1.305875808418e-18 -1.294873626850e-18 -1.255416314756e-18 -1.228338719912e-18 -1.273778754571e-18 -1.312697684735e-18 -1.327104000000e-18 
              1380 -1.308109356292e-18 -1.305884094528e-18 -1.294887275382e-18 -1.255424228936e-18 -1.228335886193e-18 -1.273765380390e-18 -1.312691784134e-18 -1.327104000000e-18 
              1390 -1.308109356292e-18 -1.305892424924e-18 -1.294900994527e-18 -1.255432386878e-18 -1.228333206314e-18 -1.273751678437e-18 -1.312685914616e-18 -1.327104000000e-18 
              1400 -1.308109356292e-18 -1.305900401137e-18 -1.294914198383e-18 -1.255440036080e-18 -1.228330485283e-18 -1.273738638510e-18 -1.312680210648e-18 -1.327104000000e-18 
              1410 -1.308109356292e-18 -1.305908380179e-18 -1.294927421215e-18 -1.255447790372e-18 -1.228327843872e-18 -1.273725433976e-18 -1.312674528435e-18 -1.327104000000e-18 
              1420 -1.308109356292e-18 -1.305916094931e-18 -1.294940253534e-18 -1.255455215245e-18 -1.228325214709e-18 -1.273712669608e-18 -1.312668987898e-18 -1.327104000000e-18 
              1430 -1.308109356292e-18 -1.305923788003e-18 -1.294953067460e-18 -1.255462692217e-18 -1.228322647223e-18 -1.273699812702e-18 -1.312663475857e-18 -1.327104000000e-18 
              1440 -1.308109356292e-18 -1.305931207268e-18 -1.294965474807e-18 -1.255469807123e-18 -1.228320075239e-18 -1.273687442133e-18 -1.312658105096e-18 -1.327104000000e-18 
              1450 -1.308109356292e-18 -1.305938509340e-18 -1.294977712016e-18 -1.255476825869e-18 -1.228317547990e-18 -1.273675196096e-18 -1.312652810462e-18 -1.327104000000e-18 
