#               step          distance_1          distance_2          distance_3          distance_4          distance_5          distance_6          distance_7 
#                                                                                                                                                                
                94 +5.905430268299e+00 +6.112880324716e+00 +6.438296137435e+00 +6.969828163527e+00 +7.053625818064e+00 +6.888120829182e+00 +6.762955069093e+00 
                95 +5.902826447719e+00 +6.121085837055e+00 +6.463517496981e+00 +6.983603140417e+00 +7.063830510092e+00 +6.899394454663e+00 +6.771402453828e+00 
                96 +5.900418087658e+00 +6.130890640080e+00 +6.480716711079e+00 +6.997866829541e+00 +7.076508066355e+00 +6.912299150767e+00 +6.781290299600e+00 
                97 +5.896527523514e+00 +6.234622637306e+00 +6.711490266581e+00 +7.050784579968e+00 +7.226876162650e+00 +7.047884399470e+00 +6.895737048213e+00 
                98 +5.896960616404e+00 +6.230261986595e+00 +6.564709205423e+00 +7.117130028046e+00 +7.181451972964e+00 +7.041745427590e+00 +6.896673782974e+00 
                99 +5.897378264606e+00 +6.231167751499e+00 +6.561882544594e+00 +7.114288180560e+00 +7.181992290473e+00 +7.042502173302e+00 +6.897786715974e+00 
               100 +5.897791263594e+00 +6.232098887054e+00 +6.560532383379e+00 +7.111382998635e+00 +7.183022471209e+00 +7.043359179438e+00 +6.898868793666e+00 
               101 +5.898862412590e+00 +6.234440624755e+00 +6.558104099543e+00 +7.106522026765e+00 +7.186012443515e+00 +7.045609917805e+00 +6.901621061513e+00 
               102 +5.900006426662e+00 +6.236776380400e+00 +6.557344942702e+00 +7.104427013629e+00 +7.188928506316e+00 +7.048012974859e+00 +6.904461724951e+00 
               103 +5.901717799074e+00 +6.240044197862e+00 +6.557891526611e+00 +7.102362477422e+00 +7.192886648590e+00 +7.051494006144e+00 +6.908559162632e+00 
               104 +5.902096152411e+00 +6.240673733618e+00 +6.557856753276e+00 +7.102118935331e+00 +7.193572105205e+00 +7.052193810642e+00 +6.909436570262e+00 
               105 +5.902493979058e+00 +6.241376529494e+00 +6.558317709821e+00 +7.101651582110e+00 +7.194358943712e+00 +7.052970241442e+00 +6.910346674231e+00 
               106 +5.903154352006e+00 +6.242523828489e+00 +6.559145310178e+00 +7.100895266722e+00 +7.195625085734e+00 +7.054243015136e+00 +6.911840504818e+00 
               107 +6.208940750352e+00 +6.500511022405e+00 +6.874760199863e+00 +6.984996275103e+00 +7.470013232841e+00 +7.354868120442e+00 +7.307529946905e+00 
               108 +6.234496975423e+00 +6.494070742160e+00 +7.116713123369e+00 +7.020606972643e+00 +7.322878325093e+00 +7.353731149898e+00 +7.313902277844e+00 
               109 +6.241914712286e+00 +6.499950982216e+00 +7.115971989326e+00 +7.232737396174e+00 +7.313152229841e+00 +7.351559948999e+00 +7.316139716314e+00 
               110 +6.242811984959e+00 +6.475523098652e+00 +6.908613472632e+00 +7.295996497492e+00 +7.248873180382e+00 +7.345816407185e+00 +7.312800680634e+00 
               111 +6.243797515132e+00 +6.476133499427e+00 +6.901710721088e+00 +7.285203474647e+00 +7.246785788370e+00 +7.345163009743e+00 +7.313022878591e+00 
               112 +6.244995793031e+00 +6.476994346437e+00 +6.896418977064e+00 +7.275858586354e+00 +7.245439534641e+00 +7.344476779097e+00 +7.313310956696e+00 
               113 +6.247314394532e+00 +6.478655731966e+00 +6.888162875185e+00 +7.263012887966e+00 +7.243527313078e+00 +7.343203644299e+00 +7.313860029245e+00 
               114 +6.249773605057e+00 +6.480395624320e+00 +6.881955124696e+00 +7.254571517939e+00 +7.241817630819e+00 +7.341884368375e+00 +7.314423720457e+00 
               115 +6.257758958820e+00 +6.485988633253e+00 +6.868020928992e+00 +7.230931813466e+00 +7.236322747950e+00 +7.337689930636e+00 +7.316180891363e+00 
               116 +6.259172026685e+00 +6.486940430425e+00 +6.867676185297e+00 +7.228265580270e+00 +7.235312325705e+00 +7.336960628601e+00 +7.316454816692e+00 
